PIT_ID,first,last,kOneOB,oneOB,kTwoOB,twoOB,kThreeOB,threeOB,kScore
vargj001,Jason,Vargas,179,1009,44,290,5,42,4.42854564
verlj001,Justin,Verlander,272,1120,109,378,17,59,8.83584978
voger001,Ryan,Vogelsong,87,582,42,238,11,56,5.71832080
volqe001,Edinson,Volquez,161,750,53,296,9,57,5.52088435
volsc001,Chris,Volstad,82,611,36,239,4,36,4.05599492
waina001,Adam,Wainwright,184,853,61,267,10,41,7.36782406
weavj003,Jered,Weaver,176,835,64,265,7,40,6.43075553
westj001,Jake,Westbrook,87,847,46,374,12,77,4.26589379
wilsc004,C.J.,Wilson,233,1135,75,397,22,83,7.20752914
wolfr001,Randy,Wolf,116,801,42,316,11,50,5.58367813
woodt004,Travis,Wood,93,669,37,224,10,39,6.45278187
zambc001,Carlos,Zambrano,88,541,31,268,12,63,5.04774547
zimmj003,Jordan,Zimmermann,112,737,43,217,8,30,7.03519925
zitob001,Barry,Zito,99,755,46,298,7,51,4.47733813
