playerID,retroID,kscore,totalER,totalinnings,totalERA
salech01,salec001,7.2745523400,165,498,2.9819
samarje01,samaj001,7.4925913000,224,493,4.0892
sanabal01,sanaa001,7.2046546300,64,138,4.1739
sanchan01,sanca004,7.4722105300,293,768,3.4336
sanchbr01,sancb001,6.0038549300,50,130,3.4615
sanched01,sance001,6.5101078600,21,51,3.7059
sanchjo01,sancj002,7.2234612000,190,371,4.6092
sanitam01,sania001,4.8946444900,10,6,15.0000
santaer01,sante001,7.0513130800,361,838,3.8771
santajo01,santj003,4.8267727000,129,315,3.6857
santihe01,santh001,5.8906362300,85,219,3.4932
santose01,sants001,9.2007656400,52,144,3.2500
saundjo01,saunj001,4.0693012200,374,771,4.3658
saverjo01,savej001,7.2696566300,22,43,4.6047
schepta01,schet001,4.8026865700,32,108,2.6667
scherma01,schem001,9.8210783800,319,791,3.6296
schleda01,schld001,8.6483461300,33,72,4.1250
schwimi01,schwm002,9.3294338400,25,48,4.6875
shawbr01,shawb001,7.4887089500,58,161,3.2422
sheetbe01,sheeb001,5.4960787400,79,168,4.2321
sherrge01,sherg001,5.8420590400,43,73,5.3014
shielja02,shiej002,7.7746101600,364,906,3.6159
shielsc01,shies002,8.4856183200,27,46,5.2826
simonal01,simoa001,5.8745273200,136,311,3.9357
sippto01,sippt001,6.7250816500,97,216,4.0417
skaggty01,skagt001,3.6531596100,41,67,5.5075
slamaan01,slama001,22.5664253600,4,4,9.0000
slatedo01,slatd001,8.6104356400,26,68,3.4412
sloweke01,slowk001,3.8379002800,163,305,4.8098
smithgr02,smitg002,7.5079735700,27,39,6.2308
smithjo05,smitj002,6.1701456900,70,234,2.6923
smithjo06,smitj003,5.2837170000,34,61,5.0164
smylydr01,smyld001,6.5479826000,64,174,3.3103
snellia01,sneli001,3.4332743400,33,46,6.4565
sonnaan01,sonna001,4.4281937700,62,116,4.8103
soriajo01,sorij001,7.2032743800,50,148,3.0405
soriara01,sorir001,5.8662018900,70,234,2.6923
sosajo02,sosaj002,5.7829660200,19,36,4.7500
spencjo01,spenj001,9.4170016400,14,39,3.2308
stammcr01,stamc001,6.9529122200,122,307,3.5765
staufti01,staut001,4.7949461100,126,340,3.3353
stewaza01,stewz001,5.9090955100,78,101,6.9505
stokebr01,stokb001,6.5385911700,15,16,8.4375
storedr01,stord001,8.4971163700,84,221,3.4208
storemi01,storm001,9.6652963800,16,34,4.2353
straida01,strad003,6.2040856300,84,191,3.9581
strasst01,stras001,9.0561674900,143,434,2.9654
streehu01,streh001,8.5225769500,69,199,3.1206
stroppe01,strop001,7.1018354000,64,153,3.7647
stulter01,stule002,4.3257521100,129,313,3.7093
stutemi01,stutm001,9.7674360000,38,83,4.1205
suppaje01,suppj001,1.7303894400,75,130,5.1923
swarzan01,swara001,3.1298668900,134,293,4.1160
takahhi01,takah001,6.8180146300,108,242,4.0165
talbomi01,talbm001,2.6755264400,125,222,5.0676
tallebr01,tallb001,3.8013085400,69,89,6.9775
tateyyo01,tatey001,4.3484166000,39,61,5.7541
tazawju01,tazaj001,6.9260172700,33,115,2.5826
teafoev01,teafe001,3.7595694500,50,105,4.2857
teherju01,tehej001,6.0844937200,81,210,3.4714
tejedro01,tejer001,5.5592092100,29,68,3.8382
texeika01,texek001,4.6608680100,35,66,4.7727
thatcjo01,thatj001,8.1654663100,36,114,2.8421
thayeda01,thayd001,7.2583781100,56,134,3.7612
thomabr01,thomb001,4.6424541800,41,80,4.6125
thomaju01,thomj006,3.6870065200,16,20,7.2000
thompri03,thomr006,6.4870506200,25,75,3.0000
thornma01,thorm001,4.7976023000,83,226,3.3053
thornty01,thort001,9.3808205900,26,88,2.6591
tillmch01,tillc001,6.7138059100,186,406,4.1232
toddje01,toddj001,12.5243532200,5,6,7.5000
tollesh01,tolls002,9.7527252200,18,37,4.3784
torreal01,torra002,9.0086040200,14,64,1.9688
torreca01,torrc001,3.8106566200,77,152,4.5592
troncra01,tronr001,5.0559168500,58,106,4.9245
ueharko01,uehak001,9.3129854000,47,219,1.9315
valdece01,valdc003,4.2933829700,17,19,8.0526
valdejo01,valdj001,9.1578926400,17,26,5.8846
valdelu01,valdl001,3.4173262100,32,51,5.6471
valdera02,valdr002,8.1355007700,75,134,5.0373
valvejo01,valvj001,4.7296268300,80,223,3.2287
vargacl01,vargc001,9.6776885400,16,19,7.5789
vargaja01,vargj001,4.4285456400,336,760,3.9789
varvaan01,varva001,8.5889048100,45,116,3.4914
vasques01,vasqe001,4.8182222500,65,114,5.1316
vazquja01,vazqj001,5.3037469700,172,349,4.4355
vealdo01,veald001,7.2275486700,17,42,3.6429
ventejo01,ventj001,10.6237293800,57,229,2.2402
verasjo01,veraj001,8.1865609000,98,247,3.5709
verlaju01,verlj001,8.8358497800,305,931,2.9484
villabr02,villb002,3.8423715400,38,74,4.6216
villaca01,villc001,7.6371609200,191,411,4.1825
vinceni01,vincn001,8.6648755400,16,72,2.0000
vogelry01,voger001,5.7183208000,191,471,3.6497
volqued01,volqe001,5.5208843500,291,521,5.0269
volstch01,volsc001,4.0559949200,267,458,5.2467
wadeco01,wadec001,5.8528467400,37,78,4.2692
wagnebi02,wagnb001,16.4561052400,11,69,1.4348
wagnene01,wagnn001,5.3092087700,20,42,4.2857
wainwad01,waina001,7.3678240600,228,669,3.0673
wakefti01,waket001,3.2873163900,171,293,5.2526
waldejo01,waldj001,7.3653816800,57,160,3.2063
waldrky01,waldk001,3.2839896300,13,31,3.7742
waltepj01,waltp001,4.4848678800,89,134,5.9776
wangch01,wangc001,4.9879447500,75,120,5.6250
warread01,warra001,10.6723572700,35,78,4.0385
watsoto01,watst001,7.9853342800,57,165,3.1091
weaveje02,weavj003,6.4307555300,253,801,2.8427
webbry01,webbr001,4.4778350300,90,248,3.2661
weberth01,webet001,6.1941374600,8,19,3.7895
welleto01,wellt002,6.4160773100,37,58,5.7414
wellski01,wellk001,4.8279780600,19,37,4.6216
wellsra01,wellr001,5.7163200200,184,357,4.6387
westbja01,westj001,4.2658937900,327,674,4.3665
wheelda01,wheed001,7.6472348200,54,109,4.4587
whiteal01,whita001,4.3084515500,100,149,6.0403
wilheto01,wilht001,7.3363338400,61,169,3.2485
willido03,willd003,4.1162892500,83,140,5.3357
willije02,willj003,4.2896934800,174,350,4.4743
willira01,willr003,4.3466827600,21,32,5.9063
wilsobr01,wilsb001,8.7955629700,37,143,2.3287
wilsocj01,wilsc004,7.2075291400,315,841,3.3710
wilsoju10,wilsj004,7.4380400000,18,77,2.1039
wolfra02,wolfr001,5.5836781300,286,584,4.4075
wolfro01,wolfr002,4.7297666700,28,59,4.2712
woodbl01,woodb004,5.7509935700,57,118,4.3475
woodke02,woodk002,7.6678188700,43,104,3.7212
woodti01,woodt003,5.5189118100,22,34,5.8235
woodtr01,woodt004,6.4527818700,240,561,3.8503
worleva01,worlv001,6.6226217700,147,324,4.0833
wrighja01,wrigj001,4.3086838000,103,261,3.5517
wrighwe01,wrigw001,6.2161256800,64,149,3.8658
wuertmi01,wuerm001,7.6469279400,44,72,5.5000
youngch03,younc003,5.3044439900,60,157,3.4395
zagurmi01,zagum001,7.0466364600,45,52,7.7885
zambrca01,zambc001,5.0477454700,192,406,4.2562
zieglbr01,ziegb001,3.4627200800,73,257,2.5564
zimmejo02,zimmj003,7.0351992500,215,599,3.2304
zitoba01,zitob001,4.4773381300,297,569,4.6977
